method,budget,reviewer_sensitivity,review_cost_ratio_lambda,observed_normalized_idealized_net_gain,bootstrap_mean,ci_low,ci_high,iterations,resampling_unit,models_retrained_within_bootstrap
confidence,0.02,1.0,0.05,0.010416666666666666,0.010831998388649382,0.004012679114377766,0.01896191500725572,5000,claim_source_component,False
confidence,0.02,1.0,0.1,0.009166666666666667,0.009649726833361303,0.0028668502830752965,0.017713361190379123,5000,claim_source_component,False
confidence,0.02,1.0,0.2,0.006666666666666667,0.0072851837227851475,0.0005011906324414527,0.015246636771300448,5000,claim_source_component,False
confidence,0.02,1.0,0.5,-0.0008333333333333334,0.00019155439105668313,-0.0065479227405247815,0.007919000933706809,5000,claim_source_component,False
confidence,0.05,0.6,0.01,0.012466666666666666,0.014575312468162781,0.008432573931584314,0.02182220874551067,5000,claim_source_component,False
confidence,0.05,0.6,0.05,0.010333333333333332,0.012474784013817861,0.006352229630535845,0.019746088959466675,5000,claim_source_component,False
confidence,0.05,0.6,0.1,0.007666666666666666,0.009849123445886709,0.003720137548262548,0.01717713647959183,5000,claim_source_component,False
confidence,0.05,0.6,0.2,0.0023333333333333327,0.0045978023100244035,-0.0016226753794426623,0.012030153183789347,5000,claim_source_component,False
confidence,0.05,0.6,0.5,-0.013666666666666666,-0.011156161097562508,-0.01762295081967213,-0.003186655837108516,5000,claim_source_component,False
confidence,0.05,0.8,0.01,0.0168,0.019608793995412457,0.011417555854269028,0.029257720055447026,5000,claim_source_component,False
confidence,0.05,0.8,0.05,0.014666666666666668,0.017508265541067533,0.00932823196049826,0.02718257851134874,5000,claim_source_component,False
confidence,0.05,0.8,0.1,0.012,0.014882604973136381,0.006707044860627179,0.024610147819244595,5000,claim_source_component,False
confidence,0.05,0.8,0.2,0.006666666666666667,0.009631283837274077,0.0013904580275524649,0.019476782103134478,5000,claim_source_component,False
confidence,0.05,0.8,0.5,-0.009333333333333332,-0.006122679570312834,-0.014577511289681763,0.004051752257854069,5000,claim_source_component,False
confidence,0.05,1.0,0.01,0.021133333333333334,0.024642275522662124,0.014402537776953741,0.03670944046741761,5000,claim_source_component,False
confidence,0.05,1.0,0.05,0.019,0.022541747068317203,0.012313925130773735,0.03463959799269077,5000,claim_source_component,False
confidence,0.05,1.0,0.1,0.016333333333333335,0.01991608650038605,0.009699391455538997,0.03207572394309353,5000,claim_source_component,False
confidence,0.05,1.0,0.2,0.011,0.014664765364523746,0.004437492653800041,0.02687963777869814,5000,claim_source_component,False
confidence,0.05,1.0,0.5,-0.005,-0.0010891980430631644,-0.011539256198347107,0.011419859901661182,5000,claim_source_component,False
confidence,0.1,0.6,0.01,0.022949999999999995,0.024817297794398428,0.01661061050926395,0.03436660490968041,5000,claim_source_component,False
confidence,0.1,0.6,0.05,0.018749999999999996,0.02083410143342453,0.012617918976299611,0.03034748897730938,5000,claim_source_component,False
confidence,0.1,0.6,0.1,0.013499999999999996,0.015855105982207157,0.007622818070637067,0.025503526914121347,5000,claim_source_component,False
confidence,0.1,0.6,0.2,0.0029999999999999953,0.005897115079772413,-0.0025572754096761614,0.016018306636155607,5000,claim_source_component,False
confidence,0.1,0.6,0.5,-0.0285,-0.02397685762753182,-0.03327951488867258,-0.012258632745266798,5000,claim_source_component,False
confidence,0.1,0.8,0.01,0.030950000000000005,0.0334216634226124,0.02249220411055989,0.04613174019607842,5000,claim_source_component,False
confidence,0.1,0.8,0.05,0.026750000000000006,0.029438467061638506,0.01847812700792461,0.04211872117872003,5000,claim_source_component,False
confidence,0.1,0.8,0.1,0.021500000000000005,0.02445947161042113,0.01355371900826446,0.03729496409657174,5000,claim_source_component,False
confidence,0.1,0.8,0.2,0.011000000000000003,0.014501480707986384,0.0033833338492014363,0.0276199339976915,5000,claim_source_component,False
confidence,0.1,0.8,0.5,-0.020499999999999994,-0.015372491999317851,-0.02728962460896767,-0.0009536277472810233,5000,claim_source_component,False
confidence,0.1,1.0,0.01,0.03895,0.04202602905082636,0.028371691022884497,0.05789644607843136,5000,claim_source_component,False
confidence,0.1,1.0,0.05,0.03475,0.038042832689852465,0.024377962569467147,0.05394642122583297,5000,claim_source_component,False
confidence,0.1,1.0,0.1,0.0295,0.033063837238635096,0.019434578853720273,0.04898307885092395,5000,claim_source_component,False
confidence,0.1,1.0,0.2,0.018999999999999996,0.02310584633620035,0.00932154119038234,0.03937385078606233,5000,claim_source_component,False
confidence,0.1,1.0,0.5,-0.0125,-0.006768126371103884,-0.021385606424907597,0.010797387039601616,5000,claim_source_component,False
confidence,0.2,0.6,0.01,0.03405,0.03702119369146932,0.024980402721433398,0.05019364343563508,5000,claim_source_component,False
confidence,0.2,0.6,0.05,0.026249999999999996,0.02994121551733182,0.01860409427069411,0.04316911709898628,5000,claim_source_component,False
confidence,0.2,0.6,0.1,0.016499999999999994,0.021091242799659942,0.010073290471772443,0.034550876397947766,5000,claim_source_component,False
confidence,0.2,0.6,0.2,-0.003000000000000007,0.0033912973643161967,-0.007881809356010214,0.017844026754195802,5000,claim_source_component,False
confidence,0.2,0.6,0.5,-0.061500000000000006,-0.04970853894171504,-0.06524860022396416,-0.028774809674090282,5000,claim_source_component,False
confidence,0.2,0.8,0.01,0.04605000000000001,0.04995158976980389,0.03378656859594738,0.06755952003727865,5000,claim_source_component,False
