seed,fold,task,model,count,accuracy,macro_f1,irrelevant_precision,irrelevant_recall,irrelevant_f1,irrelevant_support,partial_precision,partial_recall,partial_f1,partial_support,relevant_precision,relevant_recall,relevant_f1,relevant_support,non_actionable_precision,non_actionable_recall,non_actionable_f1,non_actionable_support,actionable_precision,actionable_recall,actionable_f1,actionable_support
23,4,actionability,rule_baseline,96,0.8020833333333334,0.63454217591665,,,,,,,,,,,,,0.8255813953488372,0.9466666666666667,0.8819875776397516,75,0.6,0.2857142857142857,0.3870967741935484,21
23,4,actionability,logistic_regression,96,0.8333333333333334,0.7473684210526316,,,,,,,,,,,,,0.8831168831168831,0.9066666666666666,0.8947368421052632,75,0.631578947368421,0.5714285714285714,0.6,21
23,4,actionability,random_forest,96,0.78125,0.5474747474747474,,,,,,,,,,,,,0.8,0.96,0.8727272727272727,75,0.5,0.14285714285714285,0.2222222222222222,21
23,5,path_relevance,majority_baseline,95,0.5368421052631579,0.23287671232876714,0.0,0.0,0.0,41,0.5368421052631579,1.0,0.6986301369863014,51,0.0,0.0,0.0,3,,,,,,,,
23,5,path_relevance,rule_baseline,95,0.5368421052631579,0.42052313883299797,0.0,0.0,0.0,41,0.5384615384615384,0.9607843137254902,0.6901408450704225,51,0.5,0.6666666666666666,0.5714285714285714,3,,,,,,,,
23,5,path_relevance,logistic_regression,95,0.6736842105263158,0.5965731270215927,0.6538461538461539,0.8292682926829268,0.7311827956989247,41,0.8709677419354839,0.5294117647058824,0.6585365853658537,51,0.25,1.0,0.4,3,,,,,,,,
23,5,path_relevance,random_forest,95,0.6947368421052632,0.6557539682539683,0.6363636363636364,0.8536585365853658,0.7291666666666666,41,0.8055555555555556,0.5686274509803921,0.6666666666666666,51,0.5,0.6666666666666666,0.5714285714285714,3,,,,,,,,
23,5,actionability,majority_baseline,95,0.8631578947368421,0.4632768361581921,,,,,,,,,,,,,0.8631578947368421,1.0,0.9265536723163842,82,0.0,0.0,0.0,13
23,5,actionability,rule_baseline,95,0.8842105263157894,0.6446786807208432,,,,,,,,,,,,,0.8901098901098901,0.9878048780487805,0.9364161849710982,82,0.75,0.23076923076923078,0.35294117647058826,13
23,5,actionability,logistic_regression,95,0.8631578947368421,0.7723502304147465,,,,,,,,,,,,,0.9726027397260274,0.8658536585365854,0.9161290322580645,82,0.5,0.8461538461538461,0.6285714285714286,13
23,5,actionability,random_forest,95,0.8947368421052632,0.7429653679653679,,,,,,,,,,,,,0.9186046511627907,0.9634146341463414,0.9404761904761905,82,0.6666666666666666,0.46153846153846156,0.5454545454545454,13
37,1,path_relevance,majority_baseline,91,0.3956043956043956,0.1889763779527559,0.3956043956043956,1.0,0.5669291338582677,36,0.0,0.0,0.0,50,0.0,0.0,0.0,5,,,,,,,,
37,1,path_relevance,rule_baseline,91,0.5274725274725275,0.2302158273381295,0.0,0.0,0.0,36,0.5393258426966292,0.96,0.6906474820143885,50,0.0,0.0,0.0,5,,,,,,,,
37,1,path_relevance,logistic_regression,91,0.6263736263736264,0.547183998796902,0.5614035087719298,0.8888888888888888,0.6881720430107527,36,0.8214285714285714,0.46,0.5897435897435898,50,0.3333333333333333,0.4,0.36363636363636365,5,,,,,,,,
37,1,path_relevance,random_forest,91,0.7032967032967034,0.6041438481197517,0.6346153846153846,0.9166666666666666,0.75,36,0.8787878787878788,0.58,0.6987951807228916,50,0.3333333333333333,0.4,0.36363636363636365,5,,,,,,,,
37,1,actionability,majority_baseline,91,0.8241758241758241,0.45180722891566266,,,,,,,,,,,,,0.8241758241758241,1.0,0.9036144578313253,75,0.0,0.0,0.0,16
37,1,actionability,rule_baseline,91,0.8021978021978022,0.4451219512195122,,,,,,,,,,,,,0.8202247191011236,0.9733333333333334,0.8902439024390244,75,0.0,0.0,0.0,16
37,1,actionability,logistic_regression,91,0.8351648351648352,0.7083956419568469,,,,,,,,,,,,,0.8947368421052632,0.9066666666666666,0.9006622516556292,75,0.5333333333333333,0.5,0.5161290322580645,16
37,1,actionability,random_forest,91,0.8351648351648352,0.6738351254480286,,,,,,,,,,,,,0.875,0.9333333333333333,0.9032258064516129,75,0.5454545454545454,0.375,0.4444444444444444,16
